2025-03-10 17:16:34,686 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:34.686324", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:34.686287"}}
2025-03-10 17:16:35,024 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:16:35.024528", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:24:13,303 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.303417", "user": "admin", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.303382"}}
2025-03-10 17:24:13,990 - WARNING - {"ip": "127.0.0.1", "timestamp": "2025-03-10T17:24:13.990621", "user": "admin", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://operator-netscape-identical-entertaining.trycloudflare.com/login", "location": "error: The address 127.0.0.1 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:26:30,198 - WARNING - {"ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.198072", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://rebate-apollo-ruth-proof.trycloudflare.com/login", "location": "error: The address 192.168.8.192 is not in the database.", "event_type": "login_attempt", "details": {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.198034"}}
2025-03-10 17:26:30,500 - WARNING - {"ip": "192.168.8.192", "timestamp": "2025-03-10T17:26:30.500366", "user": "anonymous", "department": "none", "device": {"type": "Other", "is_mobile": false, "is_tablet": false, "is_bot": false}, "browser": {"family": "Chrome", "version": "133"}, "os": {"family": "Windows", "version": "10"}, "method": "POST", "path": "/login", "referrer": "https://rebate-apollo-ruth-proof.trycloudflare.com/login", "location": "error: The address 192.168.8.192 is not in the database.", "event_type": "login_success", "details": {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}}
2025-03-10 17:40:25,104 - WARNING - EVENT: login_attempt | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Country: LK | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "192.168.8.192", "timestamp": "2025-03-10T17:40:25.104556"}
2025-03-10 17:40:25,469 - WARNING - EVENT: login_success | IP: 2402:4000:2390:816b:9452:793c:996c:174a | Country: LK | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-11 22:05:01,052 - WARNING - EVENT: login_attempt | IP: 192.168.8.130 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 131.0.0 | OS: Android 10 | Details: {"username": "admin", "ip": "192.168.8.130", "timestamp": "2025-03-11T22:05:01.051937"}
2025-03-11 22:05:01,332 - WARNING - EVENT: login_success | IP: 192.168.8.130 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome Mobile 131.0.0 | OS: Android 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-11 22:06:03,194 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-11T22:06:03.194165"}
2025-03-11 22:06:05,493 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 01:15:13,640 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/3040e088-9e8c-4aad-a077-2bc7ba93cd83.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "3040e088-9e8c-4aad-a077-2bc7ba93cd83.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 01:15:50,617 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/cd65aed4-8926-4f07-a456-df33edb24e18.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "cd65aed4-8926-4f07-a456-df33edb24e18.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 01:15:55,852 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/b19bc795-833d-4680-a554-9de660bd53e0.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "b19bc795-833d-4680-a554-9de660bd53e0.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 01:16:04,899 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/343f9cf7-3ce0-4588-8c42-f207c0187c2b.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "343f9cf7-3ce0-4588-8c42-f207c0187c2b.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 01:16:09,246 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/95cdd2d1-14c0-4053-a502-34d37a9dabf8.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "95cdd2d1-14c0-4053-a502-34d37a9dabf8.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 01:16:15,034 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/72eb0888-ce06-4f28-8054-96eef3ecdefd.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "72eb0888-ce06-4f28-8054-96eef3ecdefd.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 01:16:19,109 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/ace7b2dc-ed47-44b6-92e2-59211fd65416.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "ace7b2dc-ed47-44b6-92e2-59211fd65416.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 01:16:22,954 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/22b10b97-2465-439b-9858-6cd3ddcc79d8.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "22b10b97-2465-439b-9858-6cd3ddcc79d8.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 01:16:28,039 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/8fc1812a-29f4-41e8-ac94-a8271d8d56e2.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "8fc1812a-29f4-41e8-ac94-a8271d8d56e2.enc", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 02:28:50,431 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-12T02:28:50.400567"}
2025-03-12 02:28:51,264 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 02:37:05,032 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-12T02:37:05.032210"}
2025-03-12 02:37:05,414 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 02:40:03,467 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-12T02:40:03.456367"}
2025-03-12 02:40:03,812 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 03:16:55,991 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/cb940847-f6e1-45ed-952a-0cbe5a6c8d0c.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "Untitled video - Made with Clipchamp (13).mp3", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 13:02:57,169 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-12T13:02:57.169283"}
2025-03-12 13:02:57,543 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 16:18:06,463 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-12T16:18:06.462651"}
2025-03-12 16:18:09,392 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 16:23:26,310 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/tailscale-setup-full-1.80.2.exe | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "tailscale-setup-full-1.80.2.exe", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 16:24:38,636 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/35eafef1-4ca2-47a6-a34a-8253f95762bc.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "tailscale-setup-full-1.80.2.exe", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 16:25:08,534 - WARNING - EVENT: file_secure_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /erase_file/1873210e-913b-4cea-8b94-92a7d281905c.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "4775334_19366.ai", "department": "IT", "user": "admin", "method": "Gutmann (35 passes)"}
2025-03-12 17:55:21,168 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-12T17:55:21.167978"}
2025-03-12 17:55:21,632 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /login | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 17:55:54,542 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/36ac8375-71d2-48cf-8b98-a64f85305b90.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "dOCUMENTS.rar", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 18:20:27,078 - WARNING - EVENT: file_secure_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /erase_file/89a142f4-1c18-4df3-b4dc-a6d2d514863e.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "dOCUMENTS.rar", "department": "IT", "user": "admin", "method": "ZFS Secure Wiping"}
2025-03-12 18:21:07,941 - WARNING - EVENT: file_secure_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /erase_file/ad73da4b-d31c-483a-82c4-57aeccd2b1cf.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "dOCUMENTS.rar", "department": "IT", "user": "admin", "method": "ZFS Secure Wiping"}
2025-03-12 18:22:55,264 - WARNING - EVENT: file_secure_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /erase_file/527af504-d866-48dc-9cf2-39292555e3b2.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "dOCUMENTS.rar", "department": "IT", "user": "admin", "method": "Gutmann (35 passes)"}
2025-03-12 18:23:16,993 - WARNING - EVENT: file_deletion | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (IT) | POST /delete_file/0fe380d0-fa1c-42dd-98b5-52deb57458d4.enc | Browser: Chrome 133.0.0 | OS: Windows 10 | Details: {"filename": "WhatsApp Image 2025-03-05 at 19.40.59_d8c4d410.jpg", "department": "IT", "user": "admin", "secure_wipe": false}
2025-03-12 21:18:03,632 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "ip": "127.0.0.1", "timestamp": "2025-03-12T21:18:03.632503"}
2025-03-12 21:18:04,320 - WARNING - EVENT: login_success | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: anonymous (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "admin", "user_id": 1, "name": "Yvez", "is_admin": true}
2025-03-12 21:26:16,168 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "user1", "ip": "127.0.0.1", "timestamp": "2025-03-12T21:26:16.168797"}
2025-03-12 21:26:16,179 - WARNING - EVENT: login_failed | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "user1", "reason": "Invalid username", "ip": "127.0.0.1"}
2025-03-12 21:26:25,660 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "yvez", "ip": "127.0.0.1", "timestamp": "2025-03-12T21:26:25.660806"}
2025-03-12 21:26:25,661 - WARNING - EVENT: login_failed | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "yvez", "reason": "Invalid username", "ip": "127.0.0.1"}
2025-03-12 21:26:31,366 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "yvez", "ip": "127.0.0.1", "timestamp": "2025-03-12T21:26:31.366498"}
2025-03-12 21:26:31,367 - WARNING - EVENT: login_failed | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "yvez", "reason": "Invalid username", "ip": "127.0.0.1"}
2025-03-12 21:27:02,612 - WARNING - EVENT: login_attempt | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "yvez", "ip": "127.0.0.1", "timestamp": "2025-03-12T21:27:02.612196"}
2025-03-12 21:27:02,613 - WARNING - EVENT: login_failed | IP: 127.0.0.1 | Location: unknown, unknown (unknown) | Coords: unknown,unknown | ISP: unknown | User: admin (none) | POST /login | Browser: Chrome 134.0.0 | OS: Windows 10 | Details: {"username": "yvez", "reason": "Invalid username", "ip": "127.0.0.1"}
